Species,Latitude,Longitude
Leopardus wiedii,4.00797,-77.03136
Leopardus wiedii,3.98936,-77.0674
Leopardus wiedii,3.99387,-77.02645
Leopardus wiedii,4.03986,-77.0811
Leopardus wiedii,3.98218,-77.01598
Leopardus wiedii,4.01656,-77.04704
Leopardus wiedii,4.66211,-75.24589
Leopardus wiedii,1.49172,-75.66
Leopardus wiedii,1.49172,-75.66
Leopardus wiedii,1.49172,-75.66
Leopardus wiedii,7.021972,-73.443972
Leopardus wiedii,7.072583,-73.523778
Leopardus wiedii,4.78214,-76.21894
Leopardus wiedii,10.74975,-75.026811
Leopardus wiedii,5.893611,-75.189722
Leopardus wiedii,5.893611,-75.189722
Leopardus wiedii,5.893611,-75.189722
Leopardus wiedii,5.893611,-75.189722
Leopardus wiedii,5.893611,-75.189722
Leopardus wiedii,5.893611,-75.189722
Leopardus wiedii,6.556896,-74.088909
Leopardus wiedii,-1.34939,-69.73361
Leopardus wiedii,7.684222,-74.327028
Leopardus wiedii,7.68114,-74.313752
Leopardus wiedii,6.99179,-75.87234
Leopardus wiedii,3.851978,-71.305581
Leopardus wiedii,3.851978,-71.305581
Leopardus wiedii,3.417511,-76.62685
Leopardus wiedii,3.411775,-76.654678
Leopardus wiedii,3.9902,-76.404503
Leopardus wiedii,3.399294,-76.617303
Leopardus wiedii,3.849119,-76.428381
Leopardus wiedii,3.960656,-76.369042
Leopardus wiedii,4.711383,-76.213192
Leopardus wiedii,4.711517,-76.208258
Leopardus wiedii,4.890375,-76.036314
Leopardus wiedii,4.783331,-76.033369
Leopardus wiedii,4.845017,-76.131647
Leopardus wiedii,4.710489,-76.249672
Leopardus wiedii,4.718994,-76.213731
Leopardus wiedii,4.786656,-76.072353
Leopardus wiedii,4.756514,-76.172686
Leopardus wiedii,4.708617,-76.211869
Leopardus wiedii,10.53473,-74.14693
Leopardus wiedii,4.685022,-76.153864
Leopardus wiedii,4.738219,-76.113503
Leopardus wiedii,4.716333,-76.100253
Leopardus wiedii,5.6805,-77.248056
Leopardus wiedii,1.645306,-77.324722
Leopardus wiedii,11.306472,-73.963944
Leopardus wiedii,11.298139,-74.160972
Leopardus wiedii,11.296556,-74.069
Leopardus wiedii,11.296944,-74.121
Leopardus wiedii,11.043167,-72.737861
Leopardus wiedii,11.084639,-72.653333
Leopardus wiedii,11.102222,-72.692694
Leopardus wiedii,11.110778,-72.563917
Leopardus wiedii,11.138389,-72.539889
Leopardus wiedii,11.050417,-72.669778
Leopardus wiedii,10.967333,-72.755139
Leopardus wiedii,11.163472,-72.542611
Leopardus wiedii,11.156722,-72.613028
Leopardus wiedii,5.884558,-74.700891
Leopardus wiedii,11.102222,-72.692694
Leopardus wiedii,11.138389,-72.539889
Leopardus wiedii,11.110778,-72.563917
Leopardus wiedii,11.084639,-72.653333
Leopardus wiedii,11.163472,-72.542611
Leopardus wiedii,11.050417,-72.669778
Leopardus wiedii,10.967333,-72.755139
Leopardus wiedii,11.043167,-72.737861
Leopardus wiedii,11.156722,-72.613028
Leopardus wiedii,4.760972,-75.482055
Leopardus wiedii,6.016472,-76.779083
Leopardus wiedii,5.505639,-74.920806
Leopardus wiedii,11.112,-72.634778
Leopardus wiedii,11.110083,-72.578083
Leopardus wiedii,11.145056,-72.536611
Leopardus wiedii,11.166444,-72.547694
Leopardus wiedii,11.032667,-72.754528
Leopardus wiedii,11.113861,-72.682861
Leopardus wiedii,10.970389,-72.758028
Leopardus wiedii,11.100306,-72.645139
Leopardus wiedii,11.054417,-72.672
Leopardus wiedii,11.1625,-72.616639
Leopardus wiedii,11.110083,-72.578083
Leopardus wiedii,11.112,-72.634778
Leopardus wiedii,11.032667,-72.754528
Leopardus wiedii,11.145056,-72.536611
Leopardus wiedii,11.166444,-72.547694
Leopardus wiedii,11.113861,-72.682861
Leopardus wiedii,10.970389,-72.758028
Leopardus wiedii,11.054417,-72.672
Leopardus wiedii,11.100306,-72.645139
Leopardus wiedii,11.1625,-72.616639
Leopardus wiedii,11.145056,-72.536611
Leopardus wiedii,11.054417,-72.672
Leopardus wiedii,10.970389,-72.758028
Leopardus wiedii,11.166444,-72.547694
Leopardus wiedii,11.110083,-72.578083
Leopardus wiedii,11.112,-72.634778
Leopardus wiedii,11.032667,-72.754528
Leopardus wiedii,11.1625,-72.616639
Leopardus wiedii,11.145056,-72.536611
Leopardus wiedii,11.113861,-72.682861
Leopardus wiedii,10.970389,-72.758028
Leopardus wiedii,11.054417,-72.672
Leopardus wiedii,11.166444,-72.547694
Leopardus wiedii,11.100306,-72.645139
Leopardus wiedii,11.032667,-72.754528
Leopardus wiedii,11.112,-72.634778
Leopardus wiedii,11.110083,-72.578083
Leopardus wiedii,11.1625,-72.616639
Leopardus wiedii,0.913658,-75.574681
Leopardus wiedii,7.437137,-73.591388
Leopardus wiedii,2.634546,-76.958626
Leopardus wiedii,0.466667,-75.333333
Leopardus wiedii,11.0384,-72.9217
Leopardus wiedii,6.092778,-75.636111
Leopardus wiedii,7.997179,-72.996529
Leopardus wiedii,7.18,-75.77
Leopardus wiedii,5.62,-75.63
Leopardus wiedii,5.75,-75.61
Leopardus wiedii,7.5,-74.87
Leopardus wiedii,5.66,-75.88
Leopardus wiedii,6.5,-74.71
Leopardus wiedii,6.56,-74.79
Leopardus wiedii,5.97,-75.98
Leopardus wiedii,6.6,-75.02
Leopardus wiedii,7.58,-75.35
Leopardus wiedii,5.6,-75.82
Leopardus wiedii,5.66,-75.88
Leopardus wiedii,6.18,-74.58
Leopardus wiedii,7.99,-75.2
Leopardus wiedii,6.42,-74.77
Leopardus wiedii,6.97,-75.42
Leopardus wiedii,6.91,-75.07
Leopardus wiedii,5.67,-75.72
Leopardus wiedii,7.07,-75.15
Leopardus wiedii,4.26686,-72.994631
Leopardus wiedii,4.26686,-72.994631
Leopardus wiedii,5.08,-73.35
Leopardus wiedii,7.122778,-72.233056
Leopardus wiedii,5.2542,-68.4293
Leopardus wiedii,11.2914,-74.1661
Leopardus wiedii,10.5037,-74.2087
Tremarctos ornatus,7.65063,-72.917033
Tremarctos ornatus,7.65063,-72.917033
Tremarctos ornatus,7.646,-72.92025
Tremarctos ornatus,7.4305,-72.4655
Tremarctos ornatus,7.4296,-72.4642
Tremarctos ornatus,7.4333,-72.4653
Tremarctos ornatus,7.3259,-72.3376
Tremarctos ornatus,7.3288,-72.326
Tremarctos ornatus,7.4303,-72.465
Tremarctos ornatus,7.3274,-72.3311
Tremarctos ornatus,7.3285,-72.3292
Tremarctos ornatus,7.32,-72.3228
Tremarctos ornatus,7.4343,-72.4659
Tremarctos ornatus,7.4338,-72.4655
Tremarctos ornatus,7.425278,-72.443889
Tremarctos ornatus,7.122778,-72.233056
Tremarctos ornatus,7.120172,-72.707695
Tremarctos ornatus,7.268694445,-72.43505556
Tremarctos ornatus,7.481166667,-72.5375
Tremarctos ornatus,7.387222222,-72.34972222
Tremarctos ornatus,7.472333333,-72.46569444
Tremarctos ornatus,7.431027778,-72.46761111
Tremarctos ornatus,1.71725,-76.224194
Tremarctos ornatus,1.718278,-76.223
Tremarctos ornatus,1.71725,-76.224194
Tremarctos ornatus,1.736472,-76.254417
Tremarctos ornatus,1.736472,-76.254417
Tremarctos ornatus,1.775583,-76.239667
Tremarctos ornatus,1.71725,-76.224194
Tremarctos ornatus,1.777667,-76.23675
Tremarctos ornatus,1.736472,-76.254417
Tremarctos ornatus,2.49758,-76.250301
Tremarctos ornatus,4.667349,-73.988818
Tremarctos ornatus,7.028384,-73.033824
Tremarctos ornatus,1.775583,-76.239667
Tremarctos ornatus,1.775583,-76.239667
Tremarctos ornatus,4.547314,-73.771923
Tremarctos ornatus,4.541841,-73.783147
Tremarctos ornatus,2.751928,-75.071158
Tremarctos ornatus,2.751997,-75.071203
Tremarctos ornatus,2.752069,-75.070944
Tremarctos ornatus,2.752328,-75.070458
Tremarctos ornatus,2.750614,-75.069336
Tremarctos ornatus,2.750375,-75.071094
Tremarctos ornatus,2.668778,-74.976917
Tremarctos ornatus,2.668778,-74.976917
Tremarctos ornatus,2.668778,-74.976917
Tremarctos ornatus,7.646,-72.92025
Tremarctos ornatus,5.98517,-73.152767
Tremarctos ornatus,7.65063,-72.917033
Tremarctos ornatus,7.65063,-72.917033
Tremarctos ornatus,5.91775,-73.210317
Tremarctos ornatus,5.96125,-73.152022
Tremarctos ornatus,5.9864,-73.170184
Tremarctos ornatus,10.57322,-72.82175
Tremarctos ornatus,10.57386,-72.814056
Tremarctos ornatus,10.57461,-72.80975
Tremarctos ornatus,3.464444,-76.05
Tremarctos ornatus,3.463611,-76.067778
Tremarctos ornatus,6.8589,-73.369333
Tremarctos ornatus,6.84518,-73.3726
Tremarctos ornatus,6.85885,-73.3696
Tremarctos ornatus,6.85925,-73.370183
Tremarctos ornatus,6.8444,-73.374233
Tremarctos ornatus,6.84452,-73.377617
Tremarctos ornatus,6.84433,-73.374033
Tremarctos ornatus,1.7486,-76.589
Tremarctos ornatus,2.364444,-76.36
Tremarctos ornatus,6.6167,-76.1616
Tremarctos ornatus,2.672222,-75.6675
Tremarctos ornatus,4.600781,-73.888198
Tremarctos ornatus,5.2228,-76.0293
Tremarctos ornatus,5.2136,-76.0717
Tremarctos ornatus,6.5407,-76.0926
Tremarctos ornatus,6.6809,-76.1559
Tremarctos ornatus,7.010313,-75.805051
Tremarctos ornatus,6.507775,-76.052462
Tremarctos ornatus,4.986047,-73.826764
Tremarctos ornatus,1.714183,-76.226117
Tremarctos ornatus,1.714183,-76.226117
Tremarctos ornatus,1.714183,-76.226117
Tremarctos ornatus,1.718278,-76.223
Tremarctos ornatus,1.71725,-76.224194
Tremarctos ornatus,1.718278,-76.223
Tremarctos ornatus,1.714183,-76.226117
Tremarctos ornatus,1.71725,-76.224194
Tremarctos ornatus,1.714183,-76.226117
Tremarctos ornatus,1.714183,-76.226117
Tremarctos ornatus,1.718278,-76.223
Tremarctos ornatus,1.71725,-76.224194
Tremarctos ornatus,1.714183,-76.226117
Tremarctos ornatus,1.714183,-76.226117
Tremarctos ornatus,1.71725,-76.224194
Tremarctos ornatus,1.718278,-76.223
Tremarctos ornatus,1.714183,-76.226117
Tremarctos ornatus,4.50008,-73.656301
Tremarctos ornatus,1.71725,-76.224194
Tremarctos ornatus,1.718278,-76.223
Tremarctos ornatus,1.71725,-76.224194
Tremarctos ornatus,1.714183,-76.226117
Tremarctos ornatus,1.736472,-76.254417
Tremarctos ornatus,1.71725,-76.224194
Tremarctos ornatus,1.714183,-76.226117
Tremarctos ornatus,1.714183,-76.226117
Tremarctos ornatus,1.714183,-76.226117
Tremarctos ornatus,1.718278,-76.223
Tremarctos ornatus,1.71725,-76.224194
Tremarctos ornatus,1.714183,-76.226117
Tremarctos ornatus,1.718278,-76.223
Tremarctos ornatus,5.807583,-73.558517
Tremarctos ornatus,2.40091,-76.40981
Tremarctos ornatus,6.09483,-73.16328
Tremarctos ornatus,4.9733,-76.0768
Tremarctos ornatus,5.9986,-73.2166
Tremarctos ornatus,5.9891,-73.1599
Tremarctos ornatus,5.9984,-73.2168
Tremarctos ornatus,6.095,-73.0778
Tremarctos ornatus,5.9894,-73.1589
Tremarctos ornatus,5.9954,-73.2129
Tremarctos ornatus,5.9844,-73.1622
Tremarctos ornatus,5.989,-73.153
Tremarctos ornatus,5.989,-73.153
Tremarctos ornatus,2.2313,-76.5626
Tremarctos ornatus,1.6413,-76.8838
Tremarctos ornatus,1.696,-76.8468
Tremarctos ornatus,1.6899,-76.8234
Tremarctos ornatus,1.9049,-76.6882
Tremarctos ornatus,5.989,-73.153
Tremarctos ornatus,4.632634,-73.851749
Tremarctos ornatus,2.771833,-74.889056
Tremarctos ornatus,2.803194,-74.913
Tremarctos ornatus,2.765889,-74.895333
Tremarctos ornatus,6.9495,-76.082
Tremarctos ornatus,4.627914,-73.795808
Tremarctos ornatus,2.213376,-76.208214
Tremarctos ornatus,4.9729,-76.0787
Tremarctos ornatus,2.3761,-76.3589
Tremarctos ornatus,3.700556,-75.961389
Tremarctos ornatus,2.373333,-76.31
Tremarctos ornatus,2.3789,-76.3247
Tremarctos ornatus,2.334023,-76.374152
Tremarctos ornatus,10.6734,-72.7395
Tremarctos ornatus,10.6739,-72.7402
Tremarctos ornatus,6.8589,-73.369333
Tremarctos ornatus,10.6731,-72.7395
Tremarctos ornatus,10.6868,-72.7331
Tremarctos ornatus,6.85872,-73.3694
Tremarctos ornatus,6.652,-76.1344
Tremarctos ornatus,3.51,-76.033333
Tremarctos ornatus,2.179167,-76.461389
Tremarctos ornatus,2.753611,-74.957983
Tremarctos ornatus,2.753792,-74.956639
Tremarctos ornatus,2.753608,-74.957897
Tremarctos ornatus,2.753525,-74.95795
Tremarctos ornatus,1.635556,-76.851944
Tremarctos ornatus,3.681944,-75.957222
Tremarctos ornatus,3.699167,-75.962222
Tremarctos ornatus,6.003,-73.15
Tremarctos ornatus,6.003,-73.15
Tremarctos ornatus,4.697431,-73.638555
Tremarctos ornatus,6.003,-73.15
Tremarctos ornatus,6.003,-73.15
Tremarctos ornatus,1.71725,-76.224194
Tremarctos ornatus,1.71725,-76.224194
Tremarctos ornatus,1.71725,-76.224194
Tremarctos ornatus,6.708562,-72.305069
Tremarctos ornatus,6.70877,-72.341696
Tremarctos ornatus,6.706886,-72.342081
Tremarctos ornatus,6.10922,-73.07506
Tremarctos ornatus,6.09258,-73.07964
Tremarctos ornatus,6.09258,-73.07964
Tremarctos ornatus,6.003,-73.15
Tremarctos ornatus,5.59752,-72.56098
Tremarctos ornatus,6.003,-73.15
Tremarctos ornatus,6.003,-73.15
Tremarctos ornatus,6.01944,-73.14839
Tremarctos ornatus,6.09258,-73.07964
Tremarctos ornatus,6.06458,-73.12786
Tremarctos ornatus,6.09258,-73.07964
Tremarctos ornatus,6.09258,-73.07964
Tremarctos ornatus,6.09258,-73.07964
Tremarctos ornatus,6.09258,-73.07964
Tremarctos ornatus,6.09258,-73.07964
Tremarctos ornatus,6.09258,-73.07964
Tremarctos ornatus,6.09258,-73.07964
Tremarctos ornatus,6.09258,-73.07964
Tremarctos ornatus,6.09258,-73.07964
Tremarctos ornatus,6.09258,-73.07964
Tremarctos ornatus,6.09483,-73.16328
Tremarctos ornatus,6.003,-73.15
Tremarctos ornatus,6.003,-73.15
Tremarctos ornatus,6.003,-73.15
Tremarctos ornatus,3.790184,-74.681363
Tremarctos ornatus,6.01944,-73.14839
Tremarctos ornatus,6.01944,-73.14839
Tremarctos ornatus,6.03597,-73.06389
Tremarctos ornatus,6.09483,-73.16328
Tremarctos ornatus,6.09483,-73.16328
Tremarctos ornatus,6.07936,-73.18428
Tremarctos ornatus,6.07936,-73.18428
Tremarctos ornatus,6.003,-73.15
Tremarctos ornatus,6.003,-73.15
Tremarctos ornatus,1.714183,-76.226117
Tremarctos ornatus,1.714183,-76.226117
Tremarctos ornatus,1.71725,-76.224194
Tremarctos ornatus,0.963953,-76.953054
Tremarctos ornatus,6.01944,-73.14839
Tremarctos ornatus,6.01944,-73.14839
Tremarctos ornatus,6.01944,-73.14839
Tremarctos ornatus,5.98611,-73.17228
Tremarctos ornatus,1.71725,-76.224194
Tremarctos ornatus,1.71725,-76.224194
Tremarctos ornatus,1.71725,-76.224194
Tremarctos ornatus,1.71725,-76.224194
Tremarctos ornatus,1.714183,-76.226117
Tremarctos ornatus,6.2208,-72.4077
Tremarctos ornatus,6.2202,-72.4079
Tremarctos ornatus,3.242856,-75.976542
Tremarctos ornatus,6.01944,-73.14839
Tremarctos ornatus,6.01944,-73.14839
Tremarctos ornatus,6.01944,-73.14839
Tremarctos ornatus,6.01944,-73.14839
Tremarctos ornatus,6.01944,-73.14839
Tremarctos ornatus,6.003,-73.15
Tremarctos ornatus,6.003,-73.15
Tremarctos ornatus,6.003,-73.15
Tremarctos ornatus,1.71725,-76.224194
Tremarctos ornatus,4.548862,-73.75533
Tremarctos ornatus,6.01944,-73.14839
Tremarctos ornatus,6.09483,-73.16328
Tremarctos ornatus,5.989,-73.153
Tremarctos ornatus,6.003,-73.15
Tremarctos ornatus,6.003,-73.15
Tremarctos ornatus,1.71725,-76.224194
Tremarctos ornatus,1.714183,-76.226117
Tremarctos ornatus,1.714183,-76.226117
Tremarctos ornatus,1.71725,-76.224194
Tremarctos ornatus,5.51919,-72.43222
Tremarctos ornatus,4.756248,-73.701938
Tremarctos ornatus,6.003,-73.15
Tremarctos ornatus,6.003,-73.15
Tremarctos ornatus,6.003,-73.15
Tremarctos ornatus,1.48417,-75.99861
Tremarctos ornatus,1.46194,-75.99
Tremarctos ornatus,2.7218,-75.9644
Tremarctos ornatus,1.5825,-76.8814
Tremarctos ornatus,5.8026,-72.5898
Tremarctos ornatus,5.9106,-72.5212
Tremarctos ornatus,6.003,-73.15
Tremarctos ornatus,6.05558,-73.09372
Tremarctos ornatus,5.989,-73.153
Tremarctos ornatus,2.3467,-76.3548
Tremarctos ornatus,1.6111,-76.0922
Tremarctos ornatus,1.6227,-76.1152
Tremarctos ornatus,1.6168,-76.0835
Tremarctos ornatus,3.9449,-75.7408
Tremarctos ornatus,3.9027,-75.9231
Tremarctos ornatus,7.4338,-72.4655
Tremarctos ornatus,6.7185,-72.3591
Tremarctos ornatus,6.7134,-72.3559
Tremarctos ornatus,6.7208,-72.3535
Tremarctos ornatus,7.4343,-72.4659
Tremarctos ornatus,6.7184,-72.358
Tremarctos ornatus,7.4303,-72.465
Tremarctos ornatus,7.3259,-72.3376
Tremarctos ornatus,7.4333,-72.4653
Tremarctos ornatus,7.4296,-72.4642
Tremarctos ornatus,7.4305,-72.4655
Tremarctos ornatus,4.532654,-73.712918
Tremarctos ornatus,2.36709,-76.37696
Tremarctos ornatus,1.47806,-75.99278
Tremarctos ornatus,2.9464,-75.7115
Tremarctos ornatus,1.714183,-76.226117
Tremarctos ornatus,1.718278,-76.223
Tremarctos ornatus,1.718278,-76.223
Tremarctos ornatus,1.714183,-76.226117
Tremarctos ornatus,1.714183,-76.226117
Tremarctos ornatus,7.32,-72.3228
Tremarctos ornatus,7.3285,-72.3292
Tremarctos ornatus,7.3274,-72.3311
Tremarctos ornatus,7.3288,-72.326
Tremarctos ornatus,2.36817,-76.35676
Tremarctos ornatus,2.37489,-76.35425
Tremarctos ornatus,2.40328,-76.40429
